'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBN',"'PUBLICATION INFO'",'RATING','REVIEW',"'ENTRY DATE'",'COPIES','SUBJECTS','TAGS'
"The Angry Island: Hunting the English","A. A. Gill","Gill, A. A.",2004,,,[0297843184],"Weidenfeld &amp; Nicolson Ltd (2004), Hardcover",3,,"2006-08-21 08:45:55",1,"England > Social life and customs > 21st century
National characteristics, English"
"Everything Bad is Good for You","Steven Johnson","Johnson, Steven",2006,,,[0141018682],"Riverhead Trade (2006), Edition: 1st, Paperback",0,,"2006-08-21 08:46:14",1,"Intellect > 
Intellect
Popular culture > 
Popular culture"
"The Art of Travel","Alain de Botton","Botton, Alain de",2002,,,[0140276629],"Pantheon (2002), Edition: 1st American ed, Hardcover",3,,"2006-08-21 08:53:12",1,"Travel > Philosophy > 
Travel > Philosophy
Voyages and travels > Miscellanea > 
Voyages and travels > Miscellanea
Voyages and travels > Philosophy > 
Voyages and travels > Philosophy"
"Persepolis: The Story of a Childhood","Marjane Satrapi","Satrapi, Marjane",2004,,,[037571457X],"Pantheon (2004), Edition: Reprint, Paperback",0,,"2006-08-21 11:08:39",1,"Animated films
Biographical
Biographical films
Family > Iran > Drama
Feature films
Fiction films
Foreign films
Fundamentalismo islÃ¡mico > IrÃ¡n > Teatro
Girls > Iran > Comic books, strips, etc
Iran > Comic books, strips, etc
Iran > Drama
Iran > History > Revolution, 1979 > Drama
IrÃ¡n > Historia > Teatro
Islamic fundamentalism > Iran > Drama
Revolutionaries > Iran > Drama
Satrapi, Marjane, 1969- > Comic books, strips, etc > 
Women"
"Persepolis 2: The Story of a Return","Marjane Satrapi","Satrapi, Marjane",2005,,,[0375714669],"Pantheon (2005), Edition: Reprint, Paperback",0,,"2006-08-21 11:08:48",1,"Iran > History > 1979-1997 > Comic books, strips, etc
Satrapi, Marjane, 1969- > Comic books, strips, etc"
Embroideries,"Marjane Satrapi","Satrapi, Marjane",2006,,,[0375423052],"Pantheon (2006), Edition: Reprint, Paperback",0,,"2006-08-21 11:08:58",1,"Graphic novels > 
Graphic novels"
"Revolution in the Valley","Andy Hertzfeld","Hertzfeld, Andy",2004,,,[0596007191],"O'Reilly Media (2004), Edition: 1, Hardcover",0,,"2006-08-21 11:09:09",1,"Apple Computer, Inc. Macintosh Division > History > 
Computer industry > United States > History > 
Computer industry > United States > History
Macintosh (Computer) > 
Macintosh (Computer)"
"Less Than Zero (Vintage Contemporaries)","Bret Easton Ellis","Ellis, Bret Easton",1998,,,[0330294008],"Vintage (1998), Edition: Reprint, Paperback",0,,"2006-08-21 11:09:26",1,"Bildungsromane > 
Bildungsromane
Drug addiction > Fiction > 
Drug addiction > Fiction
Friendship > Fiction > 
Friendship > Fiction
Generation X > Fiction > 
Generation X > Fiction
Los Angeles (Calif.) > Fiction > 
Los Angeles (Calif.) > Fiction
Young men > Fiction > 
Young men > Fiction"
"The Rules of Attraction","Bret Easton Ellis","Ellis, Bret Easton",1998,,,[0330301861],"Vintage (1998), Edition: Reprint, Paperback",0,,"2006-08-21 11:09:43",1,"Ã‰tudiants > Romans, nouvelles, etc
College students > Fiction > 
College students > Fiction
College students > Sexual behavior > Fiction > 
Historical fiction
Humorous stories
New Hampshire > Fiction > 
New Hampshire > Fiction
New hampshire > Romans, nouvelles, etc"
"Lunar Park","Bret Easton Ellis","Ellis, Bret Easton",2005,,,[0330439596],"Knopf (2005), Hardcover",0,,"2006-08-21 11:09:47",1,"College teachers > Fiction > 
College teachers > Fiction
Domestic fiction > 
Domestic fiction
Hallucinations and illusions > Fiction > 
Hallucinations and illusions > Fiction
Married people > Fiction > 
Married people > Fiction
Novelists > Fiction > 
Novelists > Fiction
Psychological fiction > 
Psychological fiction
Suburban life > Fiction > 
Suburban life > Fiction"
"Glamorama (Vintage Contemporaries)","Bret Easton Ellis","Ellis, Bret Easton",2000,,,[0330389696],"Vintage (2000), Paperback",0,,"2006-08-21 11:09:54",1,"Experimental fiction > 
Experimental fiction
Psychological fiction > 
Psychological fiction
Young men > Fiction > 
Young men > Fiction"
"American Psycho","Bret Easton Ellis","Ellis, Bret Easton",1991,,,[0330319922],"Picador (1991), Paperback",4.5,,"2006-08-21 11:10:00",1,"Feature
Horror tales > 
Horror tales
Manhattan (New York, N.Y.) > Fiction > 
Manhattan (New York, N.Y.) > Fiction
Psychological fiction > 
Psychological fiction
Psychopaths > Fiction > 
Psychopaths > Fiction
Psychopaths > United States > Fiction > 
Rapists > Fiction > 
Rapists > Fiction
Satire > 
Serial murderers > Fiction > 
Serial murderers > Fiction
Serial murderers > United States > Fiction > 
Wall Street > Fiction > 
Wall Street > Fiction
Wall Street (New York, N.Y.) > Fiction > 
Wall Street (New York, N.Y.) > Fiction
Women > Crimes against > Fiction > 
Women > Crimes against > Fiction"
"Generation X: Tales for an Accelerated Culture","Douglas Coupland","Coupland, Douglas",1991,,,[0349103313],"St. Martin's Griffin (1991), Edition: 1st ed, Paperback",0,,"2006-08-21 11:10:18",1,"GÃ©nÃ©ration X > Romans
Generation X > Fiction > 
Generation X > Fiction
Jeunes adultes > Ã‰tats-Unis > Romans
Superhero comics > 
United States > Fiction. > 20th century
United States > Social life and customs > 20th century > Fiction > 
United States > Social life and customs > 20th century > Fiction
Young adults > Fiction > 
Young adults > Fiction
Young adults > United States > Fiction"
Microserfs,"Douglas Coupland","Coupland, Douglas",1996,,,[0006548598],"Regan Books (1996), Edition: Reprint, Paperback",0,,"2006-08-21 11:10:23",1,"Bildungsromane > 
Bildungsromane
Bildungsromans > 
Computer software industry > Employees > Fiction > 
Computer software industry > Fiction > 
Computer software industry > Fiction
Gates, Bill, 1955- > Fiction > 
Gates, Bill, 1955- > Romans > 
Humorous fiction > 
Humorous stories > 
Humorous stories
Microsoft Corporation > Fiction > 
Microsoft Corporation > Romans > 
Young adults > Fiction > 
Young adults > Fiction
Young adults > United States > Fiction"
"Life After God","Douglas Coupland","Coupland, Douglas",1995,,,[0671874349],"Washington Square Press (1995), Edition: Reprint, Paperback",0,,"2006-08-21 11:10:28",1,"Short stories, American"
"Eleanor Rigby: A Novel","Douglas Coupland","Coupland, Douglas",2005,,,[0007162537],"Bloomsbury USA (2005), Hardcover",0,,"2006-08-21 11:10:31",1,"Hale-Bopp comet > Fiction > 
Hale-Bopp comet > Fiction
Hospital patients > Fiction > 
Hospital patients > Fiction
Loneliness > Fiction > 
Loneliness > Fiction
Love stories > 
Love stories
Overweight women > Fiction > 
Overweight women > Fiction
Psychological fiction > 
Psychological fiction
Self-realization > Fiction > 
Self-realization > Fiction"
"All Families are Psychotic: A Novel","Douglas Coupland","Coupland, Douglas",2002,,,[0007117531],"Bloomsbury USA (2002), Paperback",2.5,,"2006-08-21 11:10:35",1,"Domestic fiction > 
Domestic fiction
Family > United States > Fiction > 
Family > United States > Fiction
Florida > Fiction > 
Florida > Fiction
Humorous stories > 
Humorous stories
Mothers > United States > Fiction > 
Mothers > United States > Fiction
Problem families > Fiction > 
Problem families > Fiction
Women astronauts > Fiction > 
Women astronauts > Fiction
Women astronauts > United States > Fiction > 
Women astronauts > United States > Fiction"
"Girlfriend in a Coma","Douglas Coupland","Coupland, Douglas",1999,,,[0002257548],"Regan Books (1999), Paperback",0,,"2006-08-21 11:10:39",1,"Adventure fiction > 
Adventure stories > 
Adventure stories
Coma > Fiction
Coma > Patients > Fiction > 
Millennium (Eschatology) > Fiction > 
Millennium (Eschatology) > Fiction
Science fiction > 
Science fiction
Television programs > Fiction > 
Television programs > Fiction"
"Hey Nostradamus!: A Novel","Douglas Coupland","Coupland, Douglas",2004,,,[0007172524],"Bloomsbury USA (2004), Edition: Reprint, Paperback",0,,"2006-08-21 11:10:45",1,"High school seniors > Vancouver > Fiction
High school students > Crimes against > Fiction > 
High school students > Crimes against > Fiction
Loss (Psychology) > Fiction > 
Loss (Psychology) > Fiction
Mass murder > Fiction
Murder victims' families > Fiction > 
Murder victims' families > Fiction
Psychological fiction > 
Psychological fiction
School shootings > Fiction > 
School shootings > Fiction
Teenage marriage > Fiction > 
Teenage marriage > Fiction
Teenage pregnancy > Fiction > 
Teenage pregnancy > Fiction
Teenagers > Fiction > 
Teenagers > Fiction
Vancouver (B.C.) > Fiction
Victims > Fiction"
"Polaroids from the Dead","Douglas Coupland","Coupland, Douglas",1997,,,[0006548601],"Regan Books (1997), Paperback",0,,"2006-08-21 11:10:51",1,"Deadheads (Music fans) > 
Deadheads (Music fans)
Grateful Dead (Musical group) > 
Music > Social aspects > 
Rock music > Social aspects > 
Rock music > Social aspects"
"The Consolations of Philosophy","Alain De Botton","Botton, Alain De",2001,,,[0140276610],"Gardners Books (2001), Paperback",0,,"2006-08-21 11:11:43",1,"Philosophical counseling > 
Philosophical counseling
Philosophical counselling > 
Philosophy"
"Louis Riel: A Comic-Strip Biography","Chester Brown","Brown, Chester",2004,,,[1896597637],"Drawn and Quarterly (2004), Hardcover",0,,"2006-08-21 11:14:11",1,"Canada > History > Comic books, strips. etc > 
Red River Rebellion, 1869-1870 > Comic books, strips, etc > 
Riel Rebellion, 1885 > Comic books, strips, etc > 
Riel, Louis, 1844-1885 > Bandes dessinâees > 
Riel, Louis, 1844-1885 > Comic books, strips, etc"
"The Selfish Gene: 30th Anniversary Edition--with a new Introduction by the Author","Richard Dawkins","Dawkins, Richard",2006,,,[0192860925],"Oxford University Press, USA (2006), Edition: 3rd, Paperback",0,,"2006-08-21 11:21:11",1,"Animal behavior > 
Animal behavior
Animal genetics > 
Animal genetics
Animals Behaviour expounded by theories of survival of species > 
Animals Genes > 
Animals, Habits and behavior of > 
Behavior genetics > 
Behavior genetics
Etologia Animal > 
Evolution > 
Evolution > Popular Works
Evolution
Evolution (Biology) > 
Evolution (Biology)
Genetica > 
Genetics > 
Genetics
Genetics, Behavioral > Popular Works
Genetics, Behavioral
Natural selection > 
Natural selection
Popular Works
Sociobiology > 
Sociobiology"
"The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution","Richard Dawkins","Dawkins, Richard",2005,,,[0753819961],"Mariner Books (2005), Edition: Reprint, Paperback",0.5,,"2006-08-21 11:21:22",1,"Evolution (Biology) > History > 
Evolution (Biology) > History
Evolution (Biology) > Philosophy > 
Evolution (Biology) > Philosophy
Life > Origin > 
Life > Origin"
